lat,long,url
47.37472,8.50243,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4846101?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=36&ct=142
47.34549,8.53259,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4817059?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=37&ct=142
47.40975,8.52537,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4747862?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=38&ct=142
47.35508,8.59585,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4815607?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=39&ct=142
47.416,8.50769,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/3882386?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=40&ct=142
47.38043,8.54583,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4846729?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=41&ct=142
47.35608,8.51267,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4855600?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=42&ct=142
47.39646,8.48207,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4392111?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=43&ct=142
47.357,8.59525,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4799252?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=44&ct=142
47.40555,8.55479,https://www.immoscout24.ch/fr/d/appartement-mansarde-louer-zuerich/4826892?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=45&ct=142
47.38529,8.48486,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4552004?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=46&ct=142
47.37461,8.49027,https://www.immoscout24.ch/fr/d/objet-meuble-louer-zuerich/4787433?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=47&ct=142
47.36307,8.55352,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4865198?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=48&ct=142
47.35978,8.58097,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4804814?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=49&ct=142
47.3959,8.48569,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/3196442?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=50&ct=142
47.3969,8.48229,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/3849386?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=51&ct=142
47.37667,8.48492,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4835871?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=52&ct=142
47.40528,8.57181,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4833337?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=53&ct=142
47.34085,8.53027,https://www.immoscout24.ch/fr/d/objet-meuble-louer-zuerich/4812766?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=54&ct=142
47.43135,8.54273,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4645025?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=55&ct=142
47.39962,8.54234,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4734073?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=56&ct=142
47.43135,8.54273,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4779879?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=57&ct=142
47.40349,8.58096,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4191754?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=58&ct=142
47.37842,8.50807,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4810124?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=59&ct=142
47.35853,8.58712,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4640444?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=60&ct=142
47.36056,8.58671,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4840280?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=61&ct=142
47.40578,8.57193,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4856711?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=62&ct=142
47.37674,8.56945,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4794794?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=63&ct=142
47.38637,8.54524,https://www.immoscout24.ch/fr/d/objet-meuble-louer-zuerich/4820611?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=64&ct=142
47.35839,8.59037,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4841733?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=65&ct=142
47.37746,8.52212,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4843701?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=66&ct=142
47.36363,8.55499,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4846304?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=67&ct=142
47.35428,8.59954,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4613273?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=68&ct=142
47.35435,8.53179,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4817721?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=69&ct=142
47.36666,8.56219,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4863749?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=70&ct=142
47.42941,8.54251,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4808327?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=71&ct=142
47.34958,8.53259,https://www.immoscout24.ch/fr/d/appartement-louer-zuerich/4816493?s=2&t=1&l=4147&pf=1t&pt=22h&nrf=2&nrt=3&ci=72&ct=142
